div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,hometeam_uid,awayteam_uid
E0,2009,2009-12-30,Arsenal,19,0,3.0,4.0,Portsmouth,0.0,1.0,24,1
E0,2009,2010-01-09,Arsenal,20,1,1.0,2.0,Everton,1.0,2.0,1,13
E0,2009,2010-01-17,Arsenal,21,0,3.0,2.0,Bolton,0.0,0.0,6,1
E0,2009,2010-01-20,Arsenal,22,1,3.0,4.0,Bolton,0.0,2.0,1,6
E0,2009,2010-01-27,Arsenal,23,0,1.0,0.0,Aston Villa,1.0,0.0,2,1
E0,2009,2010-01-31,Arsenal,24,1,0.0,1.0,Man United,3.0,3.0,1,20
E0,2009,2010-02-07,Arsenal,25,0,0.0,0.0,Chelsea,3.0,2.0,11,1
E0,2009,2010-02-10,Arsenal,26,1,3.0,1.0,Liverpool,0.0,0.0,1,18
E0,2009,2010-02-20,Arsenal,27,1,3.0,2.0,Sunderland,0.0,0.0,1,29
E0,2009,2010-02-27,Arsenal,28,0,3.0,3.0,Stoke,0.0,1.0,28,1
E0,2009,2010-03-06,Arsenal,29,1,3.0,3.0,Burnley,0.0,1.0,1,9
E0,2009,2010-03-13,Arsenal,30,0,3.0,2.0,Hull,0.0,1.0,16,1
E0,2009,2010-03-20,Arsenal,31,1,3.0,2.0,West Ham,0.0,0.0,1,34
E0,2009,2010-03-27,Arsenal,32,0,1.0,1.0,Birmingham,1.0,1.0,3,1
E0,2009,2010-04-03,Arsenal,33,1,3.0,1.0,Wolves,0.0,0.0,1,36
E0,2009,2010-04-14,Arsenal,34,0,0.0,1.0,Tottenham,3.0,2.0,31,1
E0,2009,2010-04-18,Arsenal,35,0,0.0,2.0,Wigan,3.0,3.0,35,1
E0,2009,2010-04-24,Arsenal,36,1,1.0,0.0,Man City,1.0,0.0,1,19
E0,2009,2010-05-03,Arsenal,37,0,0.0,1.0,Blackburn,3.0,2.0,4,1
E0,2009,2010-05-09,Arsenal,38,1,3.0,4.0,Fulham,0.0,0.0,1,14
E0,2010,2010-08-15,Arsenal,1,0,1.0,1.0,Liverpool,1.0,1.0,18,1
E0,2010,2010-08-21,Arsenal,2,1,3.0,6.0,Blackpool,0.0,0.0,1,5
E0,2010,2010-08-28,Arsenal,3,0,3.0,2.0,Blackburn,0.0,1.0,4,1
E0,2010,2010-09-11,Arsenal,4,1,3.0,4.0,Bolton,0.0,1.0,1,6
E0,2010,2010-09-18,Arsenal,5,0,1.0,1.0,Sunderland,1.0,1.0,29,1
E0,2010,2010-09-25,Arsenal,6,1,0.0,2.0,West Brom,3.0,3.0,1,33
E0,2010,2010-10-03,Arsenal,7,0,0.0,0.0,Chelsea,3.0,2.0,11,1
E0,2010,2010-10-16,Arsenal,8,1,3.0,2.0,Birmingham,0.0,1.0,1,3
E0,2010,2010-10-24,Arsenal,9,0,3.0,3.0,Man City,0.0,0.0,19,1
E0,2010,2010-10-30,Arsenal,10,1,3.0,1.0,West Ham,0.0,0.0,1,34
E0,2010,2010-11-07,Arsenal,11,1,0.0,0.0,Newcastle,3.0,1.0,1,22
E0,2010,2010-11-10,Arsenal,12,0,3.0,2.0,Wolves,0.0,0.0,36,1
E0,2010,2010-11-14,Arsenal,13,0,3.0,2.0,Everton,0.0,1.0,13,1
E0,2010,2010-11-20,Arsenal,14,1,0.0,2.0,Tottenham,3.0,3.0,1,31
E0,2010,2010-11-27,Arsenal,15,0,3.0,4.0,Aston Villa,0.0,2.0,2,1
E0,2010,2010-12-04,Arsenal,16,1,3.0,2.0,Fulham,0.0,1.0,1,14
E0,2010,2010-12-13,Arsenal,17,0,0.0,0.0,Man United,3.0,1.0,20,1
E0,2010,2010-12-27,Arsenal,18,1,3.0,3.0,Chelsea,0.0,1.0,1,11
E0,2010,2010-12-29,Arsenal,19,0,1.0,2.0,Wigan,1.0,2.0,35,1
E0,2010,2011-01-01,Arsenal,20,0,3.0,3.0,Birmingham,0.0,0.0,3,1
E0,2010,2011-01-05,Arsenal,21,1,1.0,0.0,Man City,1.0,0.0,1,19
E0,2010,2011-01-15,Arsenal,22,0,3.0,3.0,West Ham,0.0,0.0,34,1
E0,2010,2011-01-22,Arsenal,23,1,3.0,3.0,Wigan,0.0,0.0,1,35
E0,2010,2011-02-01,Arsenal,24,1,3.0,2.0,Everton,0.0,1.0,1,13
E0,2010,2011-02-05,Arsenal,25,0,1.0,4.0,Newcastle,1.0,4.0,22,1
E0,2010,2011-02-12,Arsenal,26,1,3.0,2.0,Wolves,0.0,0.0,1,36
E0,2010,2011-02-23,Arsenal,27,1,3.0,1.0,Stoke,0.0,0.0,1,28
E0,2010,2011-03-05,Arsenal,28,1,1.0,0.0,Sunderland,1.0,0.0,1,29
E0,2010,2011-03-19,Arsenal,29,0,1.0,2.0,West Brom,1.0,2.0,33,1
E0,2010,2011-04-02,Arsenal,30,1,1.0,0.0,Blackburn,1.0,0.0,1,4
E0,2010,2011-04-10,Arsenal,31,0,3.0,3.0,Blackpool,0.0,1.0,5,1
E0,2010,2011-04-17,Arsenal,32,1,1.0,1.0,Liverpool,1.0,1.0,1,18
E0,2010,2011-04-20,Arsenal,33,0,1.0,3.0,Tottenham,1.0,3.0,31,1
E0,2010,2011-04-24,Arsenal,34,0,0.0,1.0,Bolton,3.0,2.0,6,1
E0,2010,2011-05-01,Arsenal,35,1,3.0,1.0,Man United,0.0,0.0,1,20
E0,2010,2011-05-08,Arsenal,36,0,0.0,1.0,Stoke,3.0,3.0,28,1
E0,2010,2011-05-15,Arsenal,37,1,0.0,1.0,Aston Villa,3.0,2.0,1,2
E0,2010,2011-05-22,Arsenal,38,0,1.0,2.0,Fulham,1.0,2.0,14,1
E0,2011,2011-08-13,Arsenal,1,0,1.0,0.0,Newcastle,1.0,0.0,22,1
E0,2011,2011-08-20,Arsenal,2,1,0.0,0.0,Liverpool,3.0,2.0,1,18
E0,2011,2011-08-28,Arsenal,3,0,0.0,2.0,Man United,3.0,8.0,20,1
E0,2011,2011-09-10,Arsenal,4,1,3.0,1.0,Swansea,0.0,0.0,1,30
E0,2011,2011-09-17,Arsenal,5,0,0.0,3.0,Blackburn,3.0,4.0,4,1
E0,2011,2011-09-24,Arsenal,6,1,3.0,3.0,Bolton,0.0,0.0,1,6
E0,2011,2011-10-02,Arsenal,7,0,0.0,1.0,Tottenham,3.0,2.0,31,1
E0,2011,2011-10-16,Arsenal,8,1,3.0,2.0,Sunderland,0.0,1.0,1,29
E0,2011,2011-10-23,Arsenal,9,1,3.0,3.0,Stoke,0.0,1.0,1,28
E0,2011,2011-10-29,Arsenal,10,0,3.0,5.0,Chelsea,0.0,3.0,11,1
E0,2011,2011-11-05,Arsenal,11,1,3.0,3.0,West Brom,0.0,0.0,1,33
E0,2011,2011-11-19,Arsenal,12,0,3.0,2.0,Norwich,0.0,1.0,23,1
E0,2011,2011-11-26,Arsenal,13,1,1.0,1.0,Fulham,1.0,1.0,1,14
E0,2011,2011-12-03,Arsenal,14,0,3.0,4.0,Wigan,0.0,0.0,35,1
E0,2011,2011-12-10,Arsenal,15,1,3.0,1.0,Everton,0.0,0.0,1,13
E0,2011,2011-12-18,Arsenal,16,0,0.0,0.0,Man City,3.0,1.0,19,1
E0,2011,2011-12-21,Arsenal,17,0,3.0,2.0,Aston Villa,0.0,1.0,2,1
E0,2011,2011-12-27,Arsenal,18,1,1.0,1.0,Wolves,1.0,1.0,1,36
E0,2011,2011-12-31,Arsenal,19,1,3.0,1.0,QPR,0.0,0.0,1,25
E0,2011,2012-01-02,Arsenal,20,0,0.0,1.0,Fulham,3.0,2.0,14,1
E0,2011,2012-01-15,Arsenal,21,0,0.0,2.0,Swansea,3.0,3.0,30,1
E0,2011,2012-01-22,Arsenal,22,1,0.0,1.0,Man United,3.0,2.0,1,20
E0,2011,2012-02-01,Arsenal,23,0,1.0,0.0,Bolton,1.0,0.0,6,1
E0,2011,2012-02-04,Arsenal,24,1,3.0,7.0,Blackburn,0.0,1.0,1,4
E0,2011,2012-02-11,Arsenal,25,0,3.0,2.0,Sunderland,0.0,1.0,29,1
E0,2011,2012-02-26,Arsenal,26,1,3.0,5.0,Tottenham,0.0,2.0,1,31
E0,2011,2012-03-03,Arsenal,27,0,3.0,2.0,Liverpool,0.0,1.0,18,1
E0,2011,2012-03-12,Arsenal,28,1,3.0,2.0,Newcastle,0.0,1.0,1,22
E0,2011,2012-03-21,Arsenal,29,0,3.0,1.0,Everton,0.0,0.0,13,1
E0,2011,2012-03-24,Arsenal,30,1,3.0,3.0,Aston Villa,0.0,0.0,1,2
E0,2011,2012-03-31,Arsenal,31,0,0.0,1.0,QPR,3.0,2.0,25,1
E0,2011,2012-04-08,Arsenal,32,1,3.0,1.0,Man City,0.0,0.0,1,19
E0,2011,2012-04-11,Arsenal,33,0,3.0,3.0,Wolves,0.0,0.0,36,1
