div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,hometeam_uid,awayteam_uid
E0,2009,27mar2010,Arsenal,32,0,1,1,Birmingham,1,1,3,1
E0,2009,03apr2010,Arsenal,33,1,3,1,Wolves,0,0,1,36
E0,2009,14apr2010,Arsenal,34,0,0,1,Tottenham,3,2,31,1
E0,2009,18apr2010,Arsenal,35,0,0,2,Wigan,3,3,35,1
E0,2009,24apr2010,Arsenal,36,1,1,0,Man City,1,0,1,19
E0,2009,03may2010,Arsenal,37,0,0,1,Blackburn,3,2,4,1
E0,2009,09may2010,Arsenal,38,1,3,4,Fulham,0,0,1,14
E0,2010,15aug2010,Arsenal,1,0,1,1,Liverpool,1,1,18,1
E0,2010,21aug2010,Arsenal,2,1,3,6,Blackpool,0,0,1,5
E0,2010,28aug2010,Arsenal,3,0,3,2,Blackburn,0,1,4,1
E0,2010,11sep2010,Arsenal,4,1,3,4,Bolton,0,1,1,6
E0,2010,18sep2010,Arsenal,5,0,1,1,Sunderland,1,1,29,1
E0,2010,25sep2010,Arsenal,6,1,0,2,West Brom,3,3,1,33
E0,2010,03oct2010,Arsenal,7,0,0,0,Chelsea,3,2,11,1
E0,2010,16oct2010,Arsenal,8,1,3,2,Birmingham,0,1,1,3
E0,2010,24oct2010,Arsenal,9,0,3,3,Man City,0,0,19,1
E0,2010,30oct2010,Arsenal,10,1,3,1,West Ham,0,0,1,34
E0,2010,07nov2010,Arsenal,11,1,0,0,Newcastle,3,1,1,22
E0,2010,10nov2010,Arsenal,12,0,3,2,Wolves,0,0,36,1
E0,2010,14nov2010,Arsenal,13,0,3,2,Everton,0,1,13,1
E0,2010,20nov2010,Arsenal,14,1,0,2,Tottenham,3,3,1,31
E0,2010,27nov2010,Arsenal,15,0,3,4,Aston Villa,0,2,2,1
E0,2010,04dec2010,Arsenal,16,1,3,2,Fulham,0,1,1,14
E0,2010,13dec2010,Arsenal,17,0,0,0,Man United,3,1,20,1
E0,2010,27dec2010,Arsenal,18,1,3,3,Chelsea,0,1,1,11
E0,2010,29dec2010,Arsenal,19,0,1,2,Wigan,1,2,35,1
E0,2010,01jan2011,Arsenal,20,0,3,3,Birmingham,0,0,3,1
E0,2010,05jan2011,Arsenal,21,1,1,0,Man City,1,0,1,19
E0,2010,15jan2011,Arsenal,22,0,3,3,West Ham,0,0,34,1
E0,2010,22jan2011,Arsenal,23,1,3,3,Wigan,0,0,1,35
E0,2010,01feb2011,Arsenal,24,1,3,2,Everton,0,1,1,13
E0,2010,05feb2011,Arsenal,25,0,1,4,Newcastle,1,4,22,1
E0,2010,12feb2011,Arsenal,26,1,3,2,Wolves,0,0,1,36
E0,2010,23feb2011,Arsenal,27,1,3,1,Stoke,0,0,1,28
E0,2010,05mar2011,Arsenal,28,1,1,0,Sunderland,1,0,1,29
E0,2010,19mar2011,Arsenal,29,0,1,2,West Brom,1,2,33,1
E0,2010,02apr2011,Arsenal,30,1,1,0,Blackburn,1,0,1,4
E0,2010,10apr2011,Arsenal,31,0,3,3,Blackpool,0,1,5,1
E0,2010,17apr2011,Arsenal,32,1,1,1,Liverpool,1,1,1,18
E0,2010,20apr2011,Arsenal,33,0,1,3,Tottenham,1,3,31,1
E0,2010,24apr2011,Arsenal,34,0,0,1,Bolton,3,2,6,1
E0,2010,01may2011,Arsenal,35,1,3,1,Man United,0,0,1,20
E0,2010,08may2011,Arsenal,36,0,0,1,Stoke,3,3,28,1
E0,2010,15may2011,Arsenal,37,1,0,1,Aston Villa,3,2,1,2
E0,2010,22may2011,Arsenal,38,0,1,2,Fulham,1,2,14,1
E0,2011,13aug2011,Arsenal,1,0,1,0,Newcastle,1,0,22,1
E0,2011,20aug2011,Arsenal,2,1,0,0,Liverpool,3,2,1,18
E0,2011,28aug2011,Arsenal,3,0,0,2,Man United,3,8,20,1
E0,2011,10sep2011,Arsenal,4,1,3,1,Swansea,0,0,1,30
