PERMNO,date,TICKER,PRC
14593,20000103,AAPL,111.93750
14593,20000104,AAPL,102.50000
14593,20000105,AAPL,104.00000
14593,20000106,AAPL,95.00000
14593,20000107,AAPL,99.50000
14593,20000110,AAPL,97.75000
14593,20000111,AAPL,92.75000
14593,20000112,AAPL,87.18750
14593,20000113,AAPL,96.75000
14593,20000114,AAPL,100.43750
14593,20000118,AAPL,103.93750
14593,20000119,AAPL,106.56250
14593,20000120,AAPL,113.50000
14593,20000121,AAPL,111.31250
14593,20000124,AAPL,106.25000
14593,20000125,AAPL,112.25000
14593,20000126,AAPL,110.18750
14593,20000127,AAPL,110.00000
14593,20000128,AAPL,101.62500
14593,20000131,AAPL,103.75000
14593,20000201,AAPL,100.25000
14593,20000202,AAPL,98.81250
14593,20000203,AAPL,103.31250
14593,20000204,AAPL,108.00000
14593,20000207,AAPL,114.06250
14593,20000208,AAPL,114.87500
14593,20000209,AAPL,112.62500
14593,20000210,AAPL,113.50000
14593,20000211,AAPL,108.75000
14593,20000214,AAPL,115.81250
14593,20000215,AAPL,119.00000
14593,20000216,AAPL,114.12500
14593,20000217,AAPL,114.87500
14593,20000218,AAPL,111.25000
14593,20000222,AAPL,113.81250
14593,20000223,AAPL,116.25000
14593,20000224,AAPL,115.20313
14593,20000225,AAPL,110.37500
14593,20000228,AAPL,113.25000
14593,20000229,AAPL,114.62500
14593,20000301,AAPL,130.31250
14593,20000302,AAPL,122.00000
14593,20000303,AAPL,128.00000
14593,20000306,AAPL,125.68750
14593,20000307,AAPL,122.87500
14593,20000308,AAPL,122.00000
14593,20000309,AAPL,122.25000
14593,20000310,AAPL,125.75000
14593,20000313,AAPL,121.31250
14593,20000314,AAPL,114.25000
14593,20000315,AAPL,116.25000
14593,20000316,AAPL,121.56250
14593,20000317,AAPL,125.00000
14593,20000320,AAPL,123.00000
14593,20000321,AAPL,134.93750
14593,20000322,AAPL,144.18750
14593,20000323,AAPL,141.31250
14593,20000324,AAPL,138.68750
14593,20000327,AAPL,139.56250
14593,20000328,AAPL,139.12500
14593,20000329,AAPL,135.93750
14593,20000330,AAPL,125.75000
14593,20000331,AAPL,135.81250
14593,20000403,AAPL,133.31250
14593,20000404,AAPL,127.31250
